Time,Current
28.645824,0.000000,0.000000
28.688904,0.000000,0.000000
28.704143,0.000000,0.000000
28.721287,0.000000,0.000000
28.727304,0.000000,0.000000
28.740186,-0.000727,-0.001733
28.759024,-0.000727,-0.001733
28.765652,-0.000727,-0.001733
28.777015,0.000000,-0.001733
28.785929,0.000000,-0.001733
28.795612,-0.000727,-0.001733
28.806050,0.000727,0.000000
28.815909,0.003634,0.333349
28.826675,0.005088,0.232582
28.836200,0.005815,0.149442
28.845896,0.007995,0.126820
28.856583,0.010903,0.279564
28.866937,0.013810,0.257147
28.877083,0.016718,0.304308
28.887104,0.020352,0.359194
28.896645,0.023986,0.378502
28.907511,0.029074,0.505342
28.918421,0.034162,0.521578
28.928366,0.039250,0.541507
28.940227,0.046519,0.650020
28.956100,0.056694,0.733083
28.962376,0.061782,0.716207
28.975945,0.071231,0.790035
28.981481,0.076319,0.837532
28.990999,0.084315,0.818216
29.000349,0.092310,0.869401
29.009880,0.101759,0.907317
29.020374,0.111208,0.980394
29.037124,0.129380,1.249262
29.041327,0.134468,1.098275
29.051585,0.146824,1.220139
29.061050,0.158454,1.344155
29.071845,0.172264,1.557136
29.080904,0.184620,1.385833
29.092580,0.202065,1.689911
29.101711,0.215148,1.528766
29.117573,0.241315,1.650389
29.127443,0.258032,1.704524
29.157699,0.315454,1.716550
29.177154,0.353977,2.073831
29.180518,0.360519,2.127553
29.198238,0.399042,2.128643
29.202884,0.409944,2.271590
29.219037,0.445560,2.148939
29.225007,0.460097,2.236381
29.235585,0.485537,2.397862
29.244254,0.507343,2.538888
29.255032,0.534963,2.635073
29.264446,0.559676,2.612461
29.274696,0.587296,2.648636
29.283907,0.612736,3.555374
29.295653,0.646171,2.779947
29.304375,0.671611,3.296941
29.319418,0.715949,3.436246
29.328307,0.742843,3.171948
29.339574,0.778458,2.894383
29.359338,0.842421,3.302746
29.364487,0.859866,3.367393
29.378386,0.907838,3.899420
29.389334,0.947088,3.524130
29.401484,0.988519,3.505857
29.415821,1.040125,3.612808
29.420467,1.056843,3.503323
29.430308,1.093185,3.919659
29.440271,1.130255,3.282795
29.450939,1.172412,3.627684
29.462426,1.217477,3.544106
29.473152,1.261088,3.893936
29.480791,1.292343,4.280635
29.492687,1.342495,4.206319
29.501817,1.381745,4.376978
29.515530,1.441347,4.572114
29.525859,1.487139,4.566011
29.538160,1.543833,4.773676
29.550171,1.599801,4.837214
29.560388,1.649227,4.908674
29.569772,1.694292,4.627787
29.580415,1.748079,5.006729
29.596206,1.828759,5.158636
29.601281,1.855653,4.925305
29.611229,1.907986,5.610589
29.620332,1.956685,5.300168
29.631930,2.019194,5.750410
29.639694,2.061352,5.127703
29.650065,2.119500,5.271340
29.660670,2.180556,6.297179
29.672862,2.251060,5.154064
29.681511,2.301940,5.937119
29.691862,2.364449,5.766377
29.701823,2.426231,6.174806
29.717502,2.523630,6.187948
29.721553,2.550523,6.016986
29.737788,2.656644,6.629592
29.742944,2.690806,6.929823
29.758020,2.793292,6.751207
29.782610,2.965556,7.315153
29.785730,2.988088,7.264886
29.796377,3.065861,7.010024
29.814972,3.204690,7.759294
29.821152,3.250481,7.043138
29.831214,3.326074,7.697663
29.841657,3.406755,8.672356
29.851499,3.483801,7.025269
29.861159,3.561574,8.481352
29.871657,3.647343,9.799149
29.881011,3.723662,8.148563
29.893161,3.823968,9.723771
29.901456,3.893745,6.958850
29.916503,4.024579,7.854674
29.921338,4.066736,9.057344
29.937842,4.212106,8.902044
29.949716,4.313866,7.941566
29.962436,4.427981,7.871686
29.979631,4.586435,9.065817
29.987539,4.659120,8.499949
29.998466,4.757245,9.051704
30.006322,4.828477,10.079416
30.016729,4.925148,7.804073
30.027014,5.025454,9.540303
30.037762,5.127940,9.276986
30.047031,5.215162,8.755933
30.082761,5.554602,11.249400
30.086269,5.588764,9.318613
30.095415,5.675986,8.876225
30.106696,5.781380,8.618371
30.117201,5.881685,9.600157
30.128425,5.992894,11.837978
30.139639,6.105556,9.145667
30.150813,6.217491,9.541869
30.162105,6.326519,10.422683
30.185278,6.553296,9.958580
30.189276,6.594000,9.523116
30.199479,6.697213,9.743322
30.208033,6.783708,9.462677
30.218570,6.886921,9.212318
30.227775,6.979231,10.315442
30.238244,7.086806,11.768498
30.247733,7.184204,11.088510
30.258108,7.293958,10.208593
30.268285,7.397171,11.077948
30.278600,7.499657,9.744955
30.287764,7.591968,10.840445
30.298792,7.703903,9.764592
30.308606,7.803481,9.644742
30.318430,7.905968,9.812377
30.329430,8.018630,9.997962
30.339989,8.124750,8.007181
30.350527,8.232324,11.180186
30.361683,8.345713,9.792548
30.370424,8.435843,11.002488
30.381851,8.550685,11.128832
30.396221,8.692421,10.206802
30.399926,8.729491,9.538738
30.410386,8.833431,9.523116
30.420119,8.930829,9.970533
30.430994,9.042764,10.722506
30.440339,9.136528,10.210386
30.450702,9.240468,9.479646
30.460976,9.342227,10.082911
30.472499,9.457069,9.792548
30.480873,9.541384,10.961008
30.492533,9.655500,11.453250
30.501751,9.744903,9.386303
30.517985,9.903356,9.848941
30.522441,9.946968,9.082810
30.538291,10.103968,9.904300
30.542433,10.144671,9.535610
30.559798,10.316208,9.882418
30.564776,10.363454,8.060459
30.579819,10.509551,9.147105
30.605860,10.755227,9.237196
30.615097,10.842449,8.918428
30.625106,10.936213,9.608088
30.636653,11.044514,9.470382
30.646030,11.133190,9.002655
30.656508,11.232042,9.654350
30.666105,11.322898,9.127005
30.676359,11.417389,9.714024
30.685731,11.504611,9.555982
30.696004,11.598375,8.774430
30.706429,11.692866,9.758038
30.719508,11.810616,8.767815
30.730401,11.908014,9.535610
30.741584,12.006866,8.995691
30.758431,12.155870,9.097019
30.765491,12.218380,10.319103
30.790918,12.440069,8.030403
30.801485,12.530926,8.750662
30.809476,12.599250,7.209938
30.819777,12.685745,8.109923
30.830231,12.772241,8.257334
30.840917,12.861644,8.246795
30.851084,12.945958,7.404578
30.861317,13.031000,8.081744
30.873624,13.132759,8.180662
30.882227,13.204718,8.337847
30.893697,13.297755,8.131471
30.915646,13.469292,7.440582
30.922381,13.520171,7.566447
30.935418,13.618296,7.468295
30.943260,13.675718,7.334529
30.956456,13.769481,7.038875
30.965900,13.834171,7.249489
30.985678,13.969366,6.671426
30.995249,14.033329,6.701412
31.000414,14.068218,6.749640
31.009893,14.130727,6.609998
31.023509,14.219403,6.689847
31.030215,14.263014,6.299908
31.038522,14.313894,6.079263
31.049010,14.378583,6.044506
31.057994,14.433097,6.020724
31.068413,14.495606,6.016363
31.078935,14.557389,5.894987
31.089232,14.616264,5.499683
31.100227,14.676593,5.475344
31.111175,14.735468,5.296789
